dataset,undersample,as_cv_step,fs_method,incl_filtered,estimator,feat_range,src,st,kappa,roc_auc
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,std,0.220515266950376,0.1244132233234917
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,test,0.2473309608540925,0.6636363636363636
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,diff,-0.2456577723441204,-0.0886363636363637
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,mean,0.4929887331982129,0.7522727272727273
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,ncv_diff,0.0498922490080282,0.0443434343434342
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,ncv_val,0.555984555984556,0.7954545454545454
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,std,0.220515266950376,0.1244132233234917
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_2,test,0.2473309608540925,0.6636363636363636
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,diff,-0.2456577723441204,-0.0886363636363637
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,mean,0.4929887331982129,0.7522727272727273
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,ncv_diff,-0.2592261936400416,-0.2122222222222221
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,ncv_val,0.2868217054263564,0.5833333333333334
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,std,0.220515266950376,0.1244132233234917
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_3,test,0.2473309608540925,0.6636363636363636
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,diff,-0.2456577723441204,-0.0886363636363637
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,mean,0.4929887331982129,0.7522727272727273
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,ncv_diff,0.4522344819412852,0.2183164983164981
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,ncv_val,0.8244274809160306,0.9242424242424242
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,std,0.220515266950376,0.1244132233234917
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_4,test,0.2473309608540925,0.6636363636363636
abus,False,False,boruta_lightgbm,False,rf,3-15-1,flat,diff,-0.2271864521859091,-0.0697474747474747
abus,False,False,boruta_lightgbm,False,rf,3-15-1,flat,mean,0.4745174130400017,0.7315656565656565
abus,False,False,boruta_lightgbm,False,rf,3-15-1,flat,std,0.1904824764049277,0.1147101345028301
abus,False,False,boruta_lightgbm,False,rf,3-15-1,flat,test,0.2473309608540925,0.6618181818181817
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,diff,-0.2271864521859091,-0.0850378787878788
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,mean,0.4745174130400017,0.7350378787878789
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,ncv_diff,0.0245942571785268,-0.0165895061728393
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,ncv_val,0.5,0.7395833333333334
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,std,0.1904824764049277,0.1146193281805559
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_0,test,0.2473309608540925,0.65
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,diff,-0.2090127968029514,-0.0842803030303031
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,mean,0.456343757657044,0.7342803030303031
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,ncv_diff,-0.2774541364922117,-0.1065881032547698
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,ncv_val,0.2977099236641222,0.6590909090909092
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,std,0.1850232231774573,0.115723416594487
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_1,test,0.2473309608540925,0.65
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,diff,-0.2271864521859091,-0.0664015151515152
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,mean,0.4745174130400017,0.728219696969697
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,ncv_diff,0.0697629893135511,0.0548260381593714
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,ncv_val,0.555984555984556,0.7727272727272727
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,std,0.1904824764049277,0.1131024388488317
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_2,test,0.2473309608540925,0.6618181818181817
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,diff,-0.2271864521859091,-0.086111111111111
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,mean,0.4745174130400017,0.736111111111111
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,ncv_diff,-0.2430166447160828,-0.1849326599326598
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,ncv_val,0.28125,0.5946969696969698
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,std,0.1904824764049277,0.1207905125565798
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_3,test,0.2473309608540925,0.65
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,diff,-0.2090127968029514,-0.0770075757575758
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,mean,0.456343757657044,0.7388257575757576
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,ncv_diff,0.3263638268568417,0.1985521885521886
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,ncv_val,0.7376425855513308,0.9015151515151516
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,std,0.1850232231774573,0.109325590637032
abus,False,False,boruta_lightgbm,False,rf,3-15-1,ncv_4,test,0.2473309608540925,0.6618181818181817
abus,False,False,boruta_lightgbm,False,svm,3-15-1,flat,diff,-0.2612100979255158,-0.1396464646464646
abus,False,False,boruta_lightgbm,False,svm,3-15-1,flat,mean,0.5085410587796084,0.7487373737373738
abus,False,False,boruta_lightgbm,False,svm,3-15-1,flat,std,0.2256878344003866,0.1150515138168454
abus,False,False,boruta_lightgbm,False,svm,3-15-1,flat,test,0.2473309608540925,0.6090909090909091
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,diff,-0.2612100979255158,-0.1396464646464646
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,mean,0.5085410587796084,0.7487373737373738
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,ncv_diff,0.10792759051186,-0.1022839506172839
